fecha,dolar,ibc,ibc_var,ibc_var_pct
2026-03-27,468.51,0.0,0.0,0.0
2026-03-26,466.6014,0.0,0.0,0.0
2026-03-25,462.6687,0.0,0.0,0.0
2026-03-24,459.4525,0.0,0.0,0.0
2026-03-23,457.0757,0.0,0.0,0.0
2026-03-20,455.2547,0.0,0.0,0.0
2026-03-18,451.5072,0.0,0.0,0.0
2026-03-17,448.3686,0.0,0.0,0.0
2026-03-16,446.8048,0.0,0.0,0.0
2026-03-13,443.2587,0.0,0.0,0.0
2026-03-12,440.9657,0.0,0.0,0.0
2026-03-11,438.2,0.0,0.0,0.0
2026-03-10,436.24,0.0,0.0,0.0
2026-03-09,466.1664,0.0,0.0,0.0
2026-03-06,431.01,0.0,0.0,0.0
2026-03-05,427.93,0.0,0.0,0.0
2026-03-04,425.67,0.0,0.0,0.0
2026-03-03,421.87,0.0,0.0,0.0
2026-03-02,419.987,0.0,0.0,0.0
2026-02-27,417.3579,0.0,0.0,0.0
2026-02-26,414.0455,0.0,0.0,0.0
2026-02-25,411.0857,0.0,0.0,0.0
2026-02-24,407.3786,0.0,0.0,0.0
2026-02-23,405.3518,0.0,0.0,0.0
2026-02-20,402.3343,6013.52,166.14,2.84
2026-02-19,398.7456,5847.38,164.66,2.9
2026-02-18,396.3674,5682.72,249.62,4.59
2026-02-13,393.2216,5433.1,113.73,2.14
2026-02-12,390.2944,5319.37,1.93,0.04
2026-02-11,388.7394,5317.44,70.97,1.35
2026-02-10,385.272,5246.47,-753.05,-12.55
2026-02-09,382.6318,5999.52,-159.44,-2.59
2026-02-06,381.1074,6158.96,708.52,13.0
2026-02-05,378.4582,5450.44,575.84,11.81
2026-02-04,375.0825,4874.6,456.37,10.33
2026-02-03,372.1057,4418.23,553.37,14.32
2026-02-02,370.2544,3864.86,266.15,7.4
2026-01-30,363.6623,3598.71,230.32,6.84
2026-01-29,0.0,3368.39,108.52,3.33
2026-01-28,361.4906,3259.87,-116.27,-3.44
2026-01-27,358.9247,3376.14,-151.95,-4.31
2026-01-26,355.5528,3528.09,-103.95,-2.86
