id;fecha;valor;variacion;fuente;created_at
1;20251226;1605.73;3.27;;2026-01-05 08:23:29
2;20251223;1554.83;0.39;;2026-01-05 08:23:29
3;20251222;1548.78;-1.05;;2026-01-05 08:23:29
4;20251201;1551.63;-0.01;;2026-01-05 08:23:29
5;20251230;2082.26;5.75;;2026-01-05 08:23:29
6;20251229;1969.02;22.62;;2026-01-05 08:23:29
7;20241230;119380.66;3.72;;2026-01-05 08:23:29
8;20221230;20947.68;8.74;;2026-01-05 08:23:29
9;20251219;1565.28;5.01;archivo_dat;2026-01-05 08:23:29
10;20251218;1490.59;2.76;archivo_dat;2026-01-05 08:23:29
11;20251217;1450.57;-0.28;archivo_dat;2026-01-05 08:23:29
12;20251216;1454.66;-0.03;archivo_dat;2026-01-05 08:23:29
13;20251215;1455.03;-1.23;archivo_dat;2026-01-05 08:23:29
14;20251212;1473.17;-1.08;archivo_dat;2026-01-05 08:23:29
15;20251211;1489.3;-0.66;archivo_dat;2026-01-05 08:23:29
16;20251210;1499.25;0.78;archivo_dat;2026-01-05 08:23:29
17;20251209;1487.6;-2.08;archivo_dat;2026-01-05 08:23:29
18;20251205;1519.15;-1.06;archivo_dat;2026-01-05 08:23:29
19;20251204;1535.43;-1.06;archivo_dat;2026-01-05 08:23:29
20;20251203;1551.92;2.13;archivo_dat;2026-01-05 08:23:29
21;20251202;1519.61;-2.06;archivo_dat;2026-01-05 08:23:29
22;20251128;1551.78;-0.79;archivo_dat;2026-01-05 08:23:29
23;20251127;1564.09;0.88;archivo_dat;2026-01-05 08:23:29
24;20220601;6079.48;-0.3;archivo_dat;2026-01-05 08:23:29
25;20220602;6063.89;-0.26;archivo_dat;2026-01-05 08:23:29
26;20220603;6198.09;2.21;archivo_dat;2026-01-05 08:23:29
27;20220606;6205.87;0.13;archivo_dat;2026-01-05 08:23:29
28;20220607;6274.97;1.11;archivo_dat;2026-01-05 08:23:29
29;20220608;6136.89;-2.2;archivo_dat;2026-01-05 08:23:29
30;20220609;6125.18;-0.19;archivo_dat;2026-01-05 08:23:29
31;20220610;6219.4;1.54;archivo_dat;2026-01-05 08:23:29
32;20220614;6246.05;0.43;archivo_dat;2026-01-05 08:23:29
33;20220615;6179.86;-1.06;archivo_dat;2026-01-05 08:23:29
34;20220616;6223.55;0.71;archivo_dat;2026-01-05 08:23:29
35;20220617;6355.31;2.12;archivo_dat;2026-01-05 08:23:29
36;20220621;6395.1;0.63;archivo_dat;2026-01-05 08:23:29
37;20220622;6584.35;2.96;archivo_dat;2026-01-05 08:23:29
38;20220623;6815.8;3.52;archivo_dat;2026-01-05 08:23:29
39;20220627;6787.86;-0.41;archivo_dat;2026-01-05 08:23:29
40;20220628;6662.39;-1.85;archivo_dat;2026-01-05 08:23:29
41;20220629;6704.77;0.64;archivo_dat;2026-01-05 08:23:29
42;20220630;6614.9;-1.34;archivo_dat;2026-01-05 08:23:29
43;20220701;6573.15;-0.63;archivo_dat;2026-01-05 08:23:29
44;20220705;6624.03;0.77;archivo_dat;2026-01-05 08:23:29
45;20220706;6624.03;0.77;archivo_dat;2026-01-05 08:23:29
46;20220707;6542.83;-1.23;archivo_dat;2026-01-05 08:23:29
47;20220708;6601.03;0.89;archivo_dat;2026-01-05 08:23:29
48;20220711;6671.09;1.06;archivo_dat;2026-01-05 08:23:29
49;20220712;6751.81;1.21;archivo_dat;2026-01-05 08:23:29
50;20220713;6771.28;0.29;archivo_dat;2026-01-05 08:23:29
51;20220714;6841.33;1.03;archivo_dat;2026-01-05 08:23:29
52;20220715;6996.97;2.27;archivo_dat;2026-01-05 08:23:29
53;20220718;7422.07;6.08;archivo_dat;2026-01-05 08:23:29
54;20220719;7445.5;0.32;archivo_dat;2026-01-05 08:23:29
55;20220720;7483.9;0.52;archivo_dat;2026-01-05 08:23:29
56;20220721;7622.53;1.85;archivo_dat;2026-01-05 08:23:29
57;20220722;7609.45;-0.17;archivo_dat;2026-01-05 08:23:29
